Date : 2025-03-21 11:38:26
Directory : /Users/ndriyo/Documents/Code/primepm
Total : 93 files,  10020 codes, 694 comments, 1051 blanks, all 11765 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      3,550 |         -4 |         -6 |      3,540 |
| TypeScript         |         24 |      2,721 |        413 |        472 |      3,606 |
| TypeScript JSX     |         38 |      2,616 |        159 |        340 |      3,115 |
| MS SQL             |          8 |        718 |        125 |        136 |        979 |
| Markdown           |          9 |        422 |          0 |        112 |        534 |
| JSON with Comments |          2 |         34 |          0 |          1 |         35 |
| XML                |          2 |          0 |          0 |          0 |          0 |
| JavaScript         |          3 |        -13 |          1 |          0 |        -12 |
| HTML               |          1 |        -13 |          0 |         -1 |        -14 |
| CSS                |          2 |        -15 |          0 |         -3 |        -18 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         93 |     10,020 |        694 |      1,051 |     11,765 |
| . (Files)                                                                                           |         13 |      3,563 |          0 |          0 |      3,563 |
| app                                                                                                 |         31 |      3,114 |        197 |        453 |      3,764 |
| app (Files)                                                                                         |          4 |         91 |          1 |         14 |        106 |
| app/api                                                                                             |          8 |        592 |         42 |        107 |        741 |
| app/api/criteria                                                                                    |          5 |        325 |         18 |         51 |        394 |
| app/api/criteria/[criterionId]                                                                      |          1 |         93 |          0 |          5 |         98 |
| app/api/criteria/versions                                                                           |          4 |        232 |         18 |         46 |        296 |
| app/api/criteria/versions (Files)                                                                   |          1 |         42 |          3 |          9 |         54 |
| app/api/criteria/versions/[versionId]                                                               |          3 |        190 |         15 |         37 |        242 |
| app/api/criteria/versions/[versionId] (Files)                                                       |          1 |         93 |          6 |         17 |        116 |
| app/api/criteria/versions/[versionId]/comparisons                                                   |          1 |         41 |          4 |          8 |         53 |
| app/api/criteria/versions/[versionId]/criteria                                                      |          1 |         56 |          5 |         12 |         73 |
| app/api/projects                                                                                    |          3 |        267 |         24 |         56 |        347 |
| app/api/projects (Files)                                                                            |          1 |         68 |          8 |         17 |         93 |
| app/api/projects/[projectId]                                                                        |          2 |        199 |         16 |         39 |        254 |
| app/api/projects/[projectId] (Files)                                                                |          1 |        133 |         11 |         27 |        171 |
| app/api/projects/[projectId]/scores                                                                 |          1 |         66 |          5 |         12 |         83 |
| app/components                                                                                      |         10 |      1,812 |         89 |        208 |      2,109 |
| app/components/dashboard                                                                            |          1 |         39 |          0 |          6 |         45 |
| app/components/dev                                                                                  |          1 |         77 |          1 |          9 |         87 |
| app/components/project-details                                                                      |          2 |        508 |         14 |         52 |        574 |
| app/components/project-entry                                                                        |          4 |        810 |         57 |        101 |        968 |
| app/components/project-selection                                                                    |          1 |        121 |          7 |         16 |        144 |
