Date : 2025-03-21 11:38:26
Directory : /Users/ndriyo/Documents/Code/primepm
Total : 88 files,  17721 codes, 771 comments, 1337 blanks, all 19829 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      8,820 |          0 |          2 |      8,822 |
| TypeScript JSX     |         38 |      4,569 |        222 |        561 |      5,352 |
| TypeScript         |         22 |      3,001 |        422 |        491 |      3,914 |
| MS SQL             |          8 |        718 |        125 |        136 |        979 |
| Markdown           |          9 |        480 |          0 |        135 |        615 |
| JavaScript         |          3 |         46 |          2 |          4 |         52 |
| CSS                |          2 |         44 |          0 |          6 |         50 |
| JSON with Comments |          2 |         41 |          0 |          2 |         43 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         88 |     17,721 |        771 |      1,337 |     19,829 |
| . (Files)                                                                                           |          9 |      8,975 |          6 |         39 |      9,020 |
| app                                                                                                 |         31 |      3,114 |        197 |        453 |      3,764 |
| app (Files)                                                                                         |          4 |         91 |          1 |         14 |        106 |
| app/api                                                                                             |          8 |        592 |         42 |        107 |        741 |
| app/api/criteria                                                                                    |          5 |        325 |         18 |         51 |        394 |
| app/api/criteria/[criterionId]                                                                      |          1 |         93 |          0 |          5 |         98 |
| app/api/criteria/versions                                                                           |          4 |        232 |         18 |         46 |        296 |
| app/api/criteria/versions (Files)                                                                   |          1 |         42 |          3 |          9 |         54 |
| app/api/criteria/versions/[versionId]                                                               |          3 |        190 |         15 |         37 |        242 |
| app/api/criteria/versions/[versionId] (Files)                                                       |          1 |         93 |          6 |         17 |        116 |
| app/api/criteria/versions/[versionId]/comparisons                                                   |          1 |         41 |          4 |          8 |         53 |
| app/api/criteria/versions/[versionId]/criteria                                                      |          1 |         56 |          5 |         12 |         73 |
| app/api/projects                                                                                    |          3 |        267 |         24 |         56 |        347 |
| app/api/projects (Files)                                                                            |          1 |         68 |          8 |         17 |         93 |
| app/api/projects/[projectId]                                                                        |          2 |        199 |         16 |         39 |        254 |
| app/api/projects/[projectId] (Files)                                                                |          1 |        133 |         11 |         27 |        171 |
| app/api/projects/[projectId]/scores                                                                 |          1 |         66 |          5 |         12 |         83 |
| app/_components                                                                                      |         10 |      1,812 |         89 |        208 |      2,109 |
| app/_components/dashboard                                                                            |          1 |         39 |          0 |          6 |         45 |
| app/_components/dev                                                                                  |          1 |         77 |          1 |          9 |         87 |
| app/_components/project-details                                                                      |          2 |        508 |         14 |         52 |        574 |
| app/_components/project-entry                                                                        |          4 |        810 |         57 |        101 |        968 |
| app/_components/project-selection                                                                    |          1 |        121 |          7 |         16 |        144 |
| app/_components/reports                                                                              |          1 |        257 |         10 |         24 |        291 |
| app/contexts                                                                                        |          3 |        531 |         61 |        102 |        694 |
| app/criteria                                                                                        |          1 |         17 |          0 |          4 |         21 |
| app/details                                                                                         |          2 |         37 |          4 |          9 |         50 |
| app/details (Files)                                                                                 |          1 |         24 |          4 |          5 |         33 |
| app/details/[projectId]                                                                             |          1 |         13 |          0 |          4 |         17 |
| app/projects                                                                                        |          1 |         14 |          0 |          3 |         17 |
| app/projects/new                                                                                    |          1 |         14 |          0 |          3 |         17 |
| app/reports                                                                                         |          1 |         10 |          0 |          3 |         13 |
| app/selection                                                                                       |          1 |         10 |          0 |          3 |         13 |
| components                                                                                          |          3 |        152 |          4 |         18 |        174 |
| components/layout                                                                                   |          2 |        116 |          4 |         14 |        134 |
| components/ui                                                                                       |          1 |         36 |          0 |          4 |         40 |
| memory-bank                                                                                         |          7 |        333 |          0 |         76 |        409 |
| prisma                                                                                              |          9 |        797 |        125 |        166 |      1,088 |
| prisma/migrations                                                                                   |          9 |        797 |        125 |        166 |      1,088 |
| prisma/migrations/initial                                                                           |          2 |        331 |         52 |         59 |        442 |
| prisma/migrations/supabase                                                                          |          7 |        466 |         73 |        107 |        646 |
| public                                                                                              |          2 |          2 |          0 |          0 |          2 |
| public (Files)                                                                                      |          1 |          1 |          0 |          0 |          1 |
| public/assets                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                 |         27 |      4,348 |        439 |        585 |      5,372 |
| src (Files)                                                                                         |          1 |         22 |          0 |          3 |         25 |
| src/components                                                                                      |         13 |      1,917 |         63 |        200 |      2,180 |
| src/components/dashboard                                                                            |          4 |        257 |          7 |         22 |        286 |
| src/components/layout                                                                               |          2 |        111 |          4 |         12 |        127 |
| src/components/project-selection                                                                    |          7 |      1,549 |         52 |        166 |      1,767 |
| src/data                                                                                            |          1 |        276 |          7 |         16 |        299 |
| src/hooks                                                                                           |          2 |        472 |         52 |         75 |        599 |
| src/lib                                                                                             |          3 |         93 |         27 |         22 |        142 |
| src/repositories                                                                                    |          7 |      1,568 |        290 |        269 |      2,127 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                            | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
